inventory_id,standard,version,term_type,term_name,iri,prefix_local,parent,domain,range,cardinality,definition,definition_ko,concept_tag,equivalent_terms,notes,source_url,element_name_ko,element_name_en,tta_iri
TTA-0976-011,TTAK.KO-10.0976,2017,Property,SubjectID,,tta0976:Repository_SubjectID,tta0976:Repository_Subject,tta0976:Repository_Subject,xsd:string,0..*,▫ 주제분류표에서 제시되는 id(주제코드 값)를 기술함,주제 분류 코드 값.,identification.keyword,,"TTA M/R/O = R. 요소 유형: Property. 출처: re3data.org (ID 13.2)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,주제 ID,Subject ID,
TTA-0976-012,TTAK.KO-10.0976,2017,Property,SubjectName,,tta0976:Repository_SubjectName,tta0976:Repository_Subject,tta0976:Repository_Subject,xsd:string,1..1,▫ 주제분류표에서 제시되는 주제 명칭을 기술함,주제 분류 명칭.,identification.keyword,,"TTA M/R/O = M. 요소 유형: Property. 출처: re3data.org (ID 13.3)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,주제명,Subject Name,
TTA-0976-013,TTAK.KO-10.0976,2017,Property,InstitutionName,,tta0976:InstitutionName,tta0976:Repository,tta0976:Repository,xsd:string,1..1,▫ 리포지터리 운영 및 지원 기관의 이름을 기입함 ▫ 기술되는 값의 언어 정보가 함께 기술되는 것을 권고함,리포지터리 운영·지원 기관의 이름.,actor.publisher,"dcterms:title, schema:legalName, dcterms:publisher","TTA M/R/O = M. 요소 유형: Property. 출처: DCMI title + re3data ID 18.1",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,운영기관명,Institution Name,
TTA-0976-014,TTAK.KO-10.0976,2017,Property,InstitutionCountry,,tta0976:InstitutionCountry,tta0976:Repository,tta0976:Repository,"ISO 3166-1 alpha-2 (e.g., KR, US)",1..1,▫ 리포지터리 운영 및 지원 기관이 위치한 국가를 기입함 ▫ ‘ISO 3166-1 alpha-3 code’를 사용하여 기술함. (예: KOR),운영기관 소재 국가 (ISO 3166-1 alpha-2 형식 적용).,spatial.coverage,"schema:addressCountry","TTA M/R/O = M. 요소 유형: CVP. 출처: re3data.org (ID 18.3). [OVERRIDE] 표준 원문은 alpha-3 (예: KOR) 권장이나 본 인벤토리는 DCAT v3·HTML lang·웹 호환성 위해 alpha-2 적용 (decision: 2026-05-04). 변환 함수 필요 (KOR↔KR). PG606 피드백 대상",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,운영기관 국가,Institution Country,
TTA-0976-015,TTAK.KO-10.0976,2017,Property,DatabaseAccessType,,tta0976:DatabaseAccessType,tta0976:Repository,tta0976:Repository,xsd:string,1..1,▫ 리포지터리 접근 유형을 기입함 ▫ ‘부록 Ⅱ-1 통제어 : DatabaseAccessType’을 참조하여 해당 값을 선택함,리포지터리 데이터베이스 접근 유형 (open/restricted/closed).,rights.access,"dcterms:accessRights","TTA M/R/O = M. 요소 유형: CVP. 출처: re3data.org (ID 20.1)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,데이터베이스 접근 유형,Database Access Type,
TTA-0976-016,TTAK.KO-10.0976,2017,Property,DataAccessType,,tta0976:DataAccessType,tta0976:Repository,tta0976:Repository,xsd:string,1..1,▫ 연구데이터에 적용되는 접근 유형을 기입함 ▫ ‘부록 Ⅱ-1 통제어 : DatasetAccessType’을 참조하여 해당 값을 선택함,데이터에 적용되는 접근 유형.,rights.access,"dcterms:accessRights","TTA M/R/O = M. 요소 유형: CVP. 출처: re3data.org (ID 22.1)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,데이터 접근 유형,Data Access Type,
TTA-0976-017,TTAK.KO-10.0976,2017,Property,DataLicenseName,,tta0976:DataLicenseName,tta0976:Repository,tta0976:Repository,xsd:string,1..1,▫ 데이터에 적용되는 라이선스 이름을 기입함 ▫ 자유 형식으로 기술함 ▫ 예: Creative Commons Attribution 4.0 International,데이터에 적용되는 라이선스 이름 (자유 형식).,rights.license,"dcterms:license","TTA M/R/O = M. 요소 유형: Property. 출처: re3data.org (ID 23.1)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,데이터 라이선스 이름,Data License Name,
TTA-0976-018,TTAK.KO-10.0976,2017,Property,DataLicenseUrl,,tta0976:DataLicenseUrl,tta0976:Repository,tta0976:Repository,xsd:anyURI,1..1,▫ 데이터에 적용되는 라이선스 내용에 접근할 수 있는 URL을 기입함 ▫ 자유 형식으로 기술함 ▫ 예: http://creativecommons.org/licenses/by/4.0/,데이터 라이선스 문서의 URL.,rights.license,"dcterms:license","TTA M/R/O = M. 요소 유형: Property. 출처: re3data.org (ID 23.2)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,데이터 라이선스 URL,Data License Url,
TTA-0976-019,TTAK.KO-10.0976,2017,Property,DataUpload,,tta0976:DataUpload,tta0976:Repository,tta0976:Repository,xsd:string,1..1,▫ 리포지터리에 데이터를 제출하는 유형을 기입함 ▫ ‘부록 Ⅱ-1 통제어 : DataUploadType’을 참조하여 해당 값을 선택함,데이터 제출(업로드) 유형.,uncategorized,,"TTA M/R/O = M. 요소 유형: CVP. 출처: re3data.org (ID 24)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,데이터 업로드 유형,Data Upload,
TTA-0976-020,TTAK.KO-10.0976,2017,Property,Versioning,,tta0976:Versioning,tta0976:Repository,tta0976:Repository,xsd:string,1..1,▫ 데이터 버전관리 지원 여부를 기입함 ▫ ‘부록 Ⅱ-1 통제어 : Versioning’을 참조하여 해당 값을 선택함,데이터 버전 관리 지원 여부 (yes/no/unknown).,uncategorized,"dcat:version (loose)","TTA M/R/O = M. 요소 유형: CVP. 출처: re3data.org (ID 27)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,버전관리 지원,Versioning,
TTA-0976-021,TTAK.KO-10.0976,2017,Property,EnhancedPublication,,tta0976:EnhancedPublication,tta0976:Repository,tta0976:Repository,xsd:string,1..1,▫ 데이터와 출판물의 상호참조(interlinking) 지원 여부를 기입함 ▫ ‘부록 Ⅱ-1 통제어 : EnhancedPublication’을 참조하여 해당 값을 선택함,데이터-출판물 상호참조 지원 여부.,uncategorized,,"TTA M/R/O = M. 요소 유형: CVP. 출처: re3data.org (ID 34)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,Enhanced Publication 지원,Enhanced Publication,
TTA-0976-022,TTAK.KO-10.0976,2017,Property,QualityManagement,,tta0976:QualityManagement,tta0976:Repository,tta0976:Repository,xsd:string,1..1,▫ 데이터 및 메타데이터의 품질관리 여부를 기입함 ▫ ‘부록 Ⅱ-1 통제어 : QualityManagement’를 참조하여 해당 값을 선택함,데이터·메타데이터 품질관리 수행 여부.,quality.general,"dqv:hasQualityMetadata (loose)","TTA M/R/O = M. 요소 유형: CVP. 출처: re3data.org (ID 35)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,품질관리 여부,Quality Management,
TTA-0976-023,TTAK.KO-10.0976,2017,Property,Description,,tta0976:Repository_Description,tta0976:Repository,tta0976:Repository,xsd:string,0..*,▫ 리포지터리에 대한 간략한 설명을 기입함 ▫ 기술 방법에는 제한이 없으나 주로 컨텍스트 정보를 상세히 기술함 ▫ 기술되는 값의 언어 정보가 함께 기술되는 것을 권고함,리포지터리에 대한 간략한 설명.,identification.description,"dcterms:description, schema:description","TTA M/R/O = R. 요소 유형: Property. 출처: DCMI + re3data (ID 6)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,리포지터리 설명,Description,
TTA-0976-024,TTAK.KO-10.0976,2017,Property,ResponsibilityType,,tta0976:ResponsibilityType,tta0976:Repository,tta0976:Repository,xsd:string,0..1,▫ 리포지터리와 관련된 해당 기관의 책임유형을 기입함 ▫ ‘부록 Ⅱ-1 통제어 : ResponsibilityType’을 참조하여 해당 값을 선택함 (예: funding),관련 기관의 책임 유형 (general/funding/sponsoring/technical).,actor.contributor,"prov:Role (loose)","TTA M/R/O = O. 요소 유형: CVP. 출처: re3data.org (ID 18.4)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,책임 유형,Responsibility Type,
TTA-0976-025,TTAK.KO-10.0976,2017,Property,InstitutionContact,,tta0976:InstitutionContact,tta0976:Repository,tta0976:Repository,xsd:string,0..1,▫ 리포지터리 운영 및 지원에 참여하는 기관의 연락처 정보를 기입함 ▫ 이메일 전화 웹주소 등이 값으로 사용될 수 있음,운영기관의 연락처 정보 (이메일·전화·웹).,actor.contact,"schema:contactPoint, dcat:contactPoint","TTA M/R/O = O. 요소 유형: Property. 출처: re3data.org (ID 18.10)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,운영기관 연락처,Institution Contact,
TTA-0976-026,TTAK.KO-10.0976,2017,Property,RepositoryContact,,tta0976:RepositoryContact,tta0976:Repository,tta0976:Repository,xsd:string,0..1,▫ 리포지터리에 대한 문의사항에 대응하기 위한 연락처 정보를 기입함 ▫ 이메일 전화 웹주소 등이 값으로 사용될 수 있음,리포지터리 문의 연락처.,actor.contact,"schema:contactPoint, dcat:contactPoint","TTA M/R/O = O. 요소 유형: Property. 출처: re3data.org (ID 7)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,리포지터리 연락처,Repository Contact,
TTA-0976-101,TTAK.KO-10.0976,2017,Class,Collection,,tta0976:Collection,owl:Thing,,,0..1,▫ 컬렉션 자원에 대한 메타데이터 요소를 그룹핑 하는 요소 ▫ C2~C12 요소를 포함하는 최상위 요소,컬렉션 자원의 메타데이터를 그룹핑하는 최상위 요소.,structure.dataset,"dcat:Catalog, dctype:Collection","TTA M/R/O = O. 요소 유형: Class. DCMI dctype:Collection 참조됨",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,컬렉션,Collection,
TTA-0976-102,TTAK.KO-10.0976,2017,Property,Identifier,,tta0976:Collection_Identifier,tta0976:Collection,tta0976:Collection,xsd:string,1..1,▫ 컬렉션의 식별자 또는 식별값 ▫ 공식적인 식별 체계에 맞는 문자열이나 번호를 사용하는 방법을 권고함. ▫ 공식적인 식별 체계에 제한이 없으나 URI(웹주소인 URL을 포함) 디지털 객체 식별기호(DOI) 국가표준 디지털콘텐츠식별체계(UCI) 등이 포함됨.,컬렉션의 식별자.,identification.identifier,"dcterms:identifier, schema:identifier","TTA M/R/O = M. 요소 유형: Property. 출처: DCMI dc:identifier",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,컬렉션 식별자,Identifier,
TTA-0976-103,TTAK.KO-10.0976,2017,Property,IdentifierType,,tta0976:Collection_IdentifierType,tta0976:Collection_Identifier,tta0976:Collection_Identifier,xsd:string,1..1,▫ 컬렉션 <Identifier> 요소의 유형 ▫ ‘부록 Ⅱ-1 통제어 : IdentifierType’을 참조하여 해당 값을 선택함,컬렉션 식별자의 유형.,identification.identifier,,"TTA M/R/O = M. 요소 유형: CVP. 통제어: IdentifierType (DataCite-Property ID 1.1)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,식별자 유형,Identifier Type,
TTA-0976-104,TTAK.KO-10.0976,2017,Property,Title,,tta0976:Collection_Title,tta0976:Collection,tta0976:Collection,xsd:string,1..1,▫ 컬렉션의 이름 또는 명칭 ▫ 기술되는 값의 언어 정보가 함께 기술되는 것을 권고함,컬렉션의 이름.,identification.title,"dcterms:title, schema:name","TTA M/R/O = M. 요소 유형: Property. 출처: DCMI dc:title",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,컬렉션 제목,Title,
TTA-0976-105,TTAK.KO-10.0976,2017,Property,TitleType,,tta0976:Collection_TitleType,tta0976:Collection_Title,tta0976:Collection_Title,xsd:string,0..1,▫ 컬렉션 <Title> 요소의 유형으로 요소 값을 주어진 값에서 선택함 ▫ ‘부록 Ⅱ-1 통제어 : TitleType’을 참조하여 해당 값을 선택함,컬렉션 제목의 유형.,identification.title,,"TTA M/R/O = O. 요소 유형: CVP. 통제어: TitleType",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,제목 유형,Title Type,
TTA-0976-106,TTAK.KO-10.0976,2017,Property,Date,,tta0976:Collection_Date,tta0976:Collection,tta0976:Collection,xsd:date,0..*,▫ 컬렉션의 생애주기 동안 발생한 다양한 이벤트 날짜 ▫ 기술되는 값은 ISO 8601[W3CDTF]에 정의된 방식 중 ‘YYYY-MM-DD’ 형식을 사용할 것을 권고함,컬렉션 생애주기 이벤트 날짜.,temporal.coverage,"dcterms:date","TTA M/R/O = R. 요소 유형: SEP. 출처: DCMI dc:date",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,컬렉션 날짜,Date,
TTA-0976-107,TTAK.KO-10.0976,2017,Property,DateType,,tta0976:Collection_DateType,tta0976:Collection_Date,tta0976:Collection_Date,xsd:string,1..1,▫ 컬렉션 <Date> 요소의 유형 ▫ ‘부록 Ⅱ-1 통제어 : CollectionDateType’을 참조하여 해당 값을 선택함,컬렉션 날짜의 유형 (Created/Updated/Deleted).,temporal.coverage,,"TTA M/R/O = M. 요소 유형: CVP. 통제어: CollectionDateType (DataCite ID 8.1)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,날짜 유형,Date Type,
TTA-0976-108,TTAK.KO-10.0976,2017,Property,Description,,tta0976:Collection_Description,tta0976:Collection,tta0976:Collection,xsd:string,0..*,▫ 컬렉션의 내용에 대한 설명 ▫ 기술방법에는 제한이 없으나 주로 맥락 정보를 상세히 기술 ▫ 기술되는 값의 언어 정보가 함께 기술되는 것을 권고함,컬렉션의 내용 설명.,identification.description,"dcterms:description, schema:description","TTA M/R/O = R. 요소 유형: Property. 출처: DCMI dc:description",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,컬렉션 설명,Description,
TTA-0976-109,TTAK.KO-10.0976,2017,Class,Subject,,tta0976:Collection_Subject,tta0976:Collection,tta0976:Collection,,0..*,▫ 컬렉션의 내용이 지닌 주제 정보를 기술함 XML 혹은 JSON 형식으로 리포지터리 정보를 교환할 때 최상위 용어로 사용할 수 있음,컬렉션의 주제 정보 그룹핑 클래스.,identification.keyword,"dcterms:subject, dcat:theme","TTA M/R/O = R. 요소 유형: Class. 출처: DCMI dc:subject + re3data ID 13",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,주제,Subject,
TTA-0976-110,TTAK.KO-10.0976,2017,Property,SubjectScheme,,tta0976:Collection_SubjectScheme,tta0976:Collection_Subject,tta0976:Collection_Subject,xsd:string,0..*,▫ 컬렉션 주제정보 기술을 위해 참고 되는 정보원을 기술함 ▫ 웹으로 접근 가능할 경우 웹주소를 기술할 수 있으며 정보원의 명칭을 기술할 수 있음,주제 분류 체계의 출처.,identification.keyword,,"TTA M/R/O = R. 요소 유형: CVP. 출처: re3data.org (ID 13)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,주제 체계,Subject Scheme,
TTA-0976-111,TTAK.KO-10.0976,2017,Property,SubjectID,,tta0976:Collection_SubjectID,tta0976:Collection_Subject,tta0976:Collection_Subject,xsd:string,0..*,▫ 주제분류표에서 제시되는 id(주제코드 값)를 기술함,주제 분류 코드.,identification.keyword,,"TTA M/R/O = R. 요소 유형: Property. 출처: re3data.org (ID 13.2)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,주제 ID,Subject ID,
TTA-0976-112,TTAK.KO-10.0976,2017,Property,SubjectName,,tta0976:Collection_SubjectName,tta0976:Collection_Subject,tta0976:Collection_Subject,xsd:string,1..1,▫ 주제분류표에서 제시되는 주제 명칭을 기술함,주제 분류 명칭.,identification.keyword,,"TTA M/R/O = M. 요소 유형: Property. 출처: re3data.org (ID 13.3)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,주제명,Subject Name,
TTA-0976-113,TTAK.KO-10.0976,2017,Property,Creator,,tta0976:Collection_Creator,tta0976:Collection,tta0976:Collection,xsd:string,0..*,▫ 컬렉션을 생성한 사람이나 조직 등을 기술함 ▫ 기술되는 값의 언어 정보가 함께 기술되는 것을 권고함,컬렉션을 생성한 사람·조직.,actor.creator,"dcterms:creator, schema:creator, prov:Creator","TTA M/R/O = R. 요소 유형: Property. 출처: DCMI dc:creator",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,컬렉션 생성자,Creator,
TTA-0976-114,TTAK.KO-10.0976,2017,Property,Contact,,tta0976:Collection_Contact,tta0976:Collection,tta0976:Collection,xsd:string,0..*,▫ 컬렉션에 대한 문의 사항에 대응할 수 있는 담당자의 연락처 정보를 기술함 ▫ 이메일 전화 웹주소 등이 값으로 기술할 수 있음,컬렉션 담당자 연락처.,actor.contact,"schema:contactPoint, dcat:contactPoint","TTA M/R/O = R. 요소 유형: Property. 출처: N/A (TTA 자체 정의)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,컬렉션 연락처,Contact,
TTA-0976-115,TTAK.KO-10.0976,2017,Property,Rights,,tta0976:Collection_Rights,tta0976:Collection,tta0976:Collection,xsd:string,0..*,▫ 컬렉션의 저작권 정보를 기술함,컬렉션의 저작권 정보.,rights.access,"dcterms:rights","TTA M/R/O = R. 요소 유형: Property. 출처: DataCite-Property (ID 16)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,컬렉션 저작권,Rights,
TTA-0976-116,TTAK.KO-10.0976,2017,Property,Keyword,,tta0976:Collection_Keyword,tta0976:Collection,tta0976:Collection,xsd:string,0..1,▫ 컬렉션의 내용이 지닌 주제를 자연어로 기술함 ▫ 컬렉션에 대한 키워드 검색에 노출시킬 용어를 기술함,컬렉션 키워드 (자연어).,identification.keyword,"dcat:keyword, schema:keywords","TTA M/R/O = O. 요소 유형: Property. 출처: N/A",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,컬렉션 키워드,Keyword,
TTA-0976-117,TTAK.KO-10.0976,2017,Property,AccessType,,tta0976:Collection_AccessType,tta0976:Collection,tta0976:Collection,xsd:string,0..1,▫ 컬렉션의 접근 또는 이용 유형 ▫ ‘부록 Ⅱ-1 통제어 : DatasetAccessType’을 참조하여 해당 값을 선택함,컬렉션 접근 유형 (open/embargoed/restricted/closed).,rights.access,"dcterms:accessRights","TTA M/R/O = O. 요소 유형: CVP. 통제어: DatasetAccessType (re3data ID 22.1)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,접근 유형,Access Type,
TTA-0976-118,TTAK.KO-10.0976,2017,Property,AccessRestriction,,tta0976:Collection_AccessRestriction,tta0976:Collection,tta0976:Collection,xsd:string,0..1,▫ 컬렉션의 접근제한 또는 이용제한 유형 ▫ ‘부록 Ⅱ-1 통제어 : DatasetAccessRestrictionType’을 참조하여 해당 값을 선택함,컬렉션 접근 제한 유형 (free/feeRequired/registration 등).,rights.access,"dcterms:accessRights","TTA M/R/O = O. 요소 유형: CVP. 통제어: DatasetAccessRestrictionType (re3data ID 22.2)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,접근 제한,Access Restriction,
TTA-0976-201,TTAK.KO-10.0976,2017,Class,Dataset,,tta0976:Dataset,owl:Thing,,,0..1,▫ 0개 이상의 파일과 메타데이터의 그룹으로 구성되며 메타데이터 단독으로도 구성이 가능한 요소 ▫ D2~D15 요소를 포함하는 최상위 요소,데이터셋 요소들을 그룹핑하는 최상위 요소.,structure.dataset,"dcat:Dataset, schema:Dataset, dctype:Dataset","TTA M/R/O = O. 요소 유형: Class. 출처: N/A (TTA 자체 정의)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,데이터셋,Dataset,
TTA-0976-202,TTAK.KO-10.0976,2017,Property,Identifier,,tta0976:Dataset_Identifier,tta0976:Dataset,tta0976:Dataset,xsd:string,1..1,▫ 데이터셋의 식별자 또는 식별값 ▫ 공식적인 식별 체계에 맞는 문자열이나 번호를 사용하는 방법을 권고함. ▫ 공식적인 식별 체계에 제한이 없으나 URI(웹주소인 URL을 포함) 디지털 객체 식별기호(DOI) 국가표준 디지털콘텐츠식별체계(UCI) 등이 포함됨. ▫ 데이터셋을 웹에 공개 또는 출판하기 위해 반드시 기술되어야 함,데이터셋의 식별자. 웹 공개 시 필수.,identification.identifier,"dcterms:identifier, schema:identifier","TTA M/R/O = M. 요소 유형: Property. 출처: DCMI dc:identifier",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,데이터셋 식별자,Identifier,
TTA-0976-203,TTAK.KO-10.0976,2017,Property,IdentifierType,,tta0976:Dataset_IdentifierType,tta0976:Dataset_Identifier,tta0976:Dataset_Identifier,xsd:string,0..1,▫ 데이터셋 <Identifier> 요소의 유형 ▫ ‘부록 Ⅱ-1 통제어 : IdentifierType’을 참조하여 해당 값을 선택함 ▫ 데이터셋을 웹에 공개 또는 출판하기 위해 반드시 기술되어야 함,데이터셋 식별자의 유형.,identification.identifier,,"TTA M/R/O = O (부록 II-2 정본). [CONFLICT] 본문은 M (반드시 기술), 부록은 O. 부록 우선 적용 (decision: 2026-05-04). PG606 피드백 대상",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,식별자 유형,Identifier Type,
